lat,long,depth,press,SA,CT,sigma0
18.00102,-109.99928,175.94,177.077,34.92653255,11.99855896,26.40683297
18.00104,-109.99928,176.884,178.028,34.92603737,11.99065334,26.40795835
18.00104,-109.99928,177.893,179.044,34.92564317,11.97904127,26.40986633
18.00104,-109.99928,178.941,180.098,34.9250483,11.94964872,26.41499961
18.00103,-109.99928,179.698,180.861,34.92404928,11.96045771,26.41217653
18.00102,-109.99928,180.78,181.95,34.92375611,11.93045537,26.4176521
18.00102,-109.99928,181.813,182.99,34.92316113,11.91824587,26.41951205
18.00102,-109.99928,182.842,184.026,34.9226666,11.8920512,26.42409878
18.00102,-109.99928,183.853,185.045,34.92257387,11.87963451,26.42637955
18.00102,-109.99928,184.835,186.033,34.92238042,11.87141923,26.42778615
18.00102,-109.99928,185.834,187.04,34.92218711,11.86450003,26.42894696
18.00102,-109.99928,186.834,188.047,34.92189332,11.85458663,26.43059631
18.00102,-109.99928,187.764,188.983,34.92139803,11.8529769,26.43051977
18.00102,-109.99928,188.718,189.943,34.9210034,11.85246059,26.43031388
18.00102,-109.99928,189.74,190.972,34.92081027,11.85213078,26.43022769
18.00102,-109.99928,190.77,192.01,34.92051671,11.85050349,26.4303096
18.00102,-109.99928,191.781,193.028,34.92042397,11.84867483,26.43058401
18.00103,-109.99928,192.754,194.007,34.92033094,11.84655165,26.43091383
18.00104,-109.99928,193.767,195.027,34.92013773,11.84072985,26.43186559
18.00104,-109.99928,194.754,196.022,34.91994433,11.83351315,26.43308039
18.00104,-109.99928,195.745,197.02,34.91954999,11.8217062,26.43500679
18.00104,-109.99928,196.684,197.965,34.91915525,11.81010606,26.43689248
18.00104,-109.99928,197.71,198.999,34.9186607,11.79290377,26.43975623
18.00104,-109.99928,198.711,200.007,34.91826644,11.78309348,26.44130173
18.00104,-109.99928,199.672,200.974,34.91797234,11.78047722,26.44156836
18.00104,-109.99928,200.676,201.985,34.91747762,11.76637446,26.44384346
18.00104,-109.99928,201.665,202.981,34.91557561,11.71465294,26.45210281
18.00104,-109.99928,202.693,204.016,34.91347291,11.67431634,26.45804882
18.00104,-109.99928,203.709,205.039,34.91137012,11.64047322,26.4627643
18.00104,-109.99928,204.624,205.961,34.9098695,11.61961354,26.4655075
18.00104,-109.99928,205.599,206.943,34.90857027,11.60024017,26.46812397
18.00104,-109.99928,206.632,207.983,34.90747243,11.581155,26.47083792
18.00104,-109.99928,207.649,209.007,34.90637447,11.55677943,26.47453298
18.00104,-109.99928,208.637,210.002,34.90567824,11.54248566,26.47665662
18.00104,-109.9993,209.649,211.022,34.90568556,11.53386638,26.47826508
18.00104,-109.9993,210.709,212.089,34.90629612,11.51973637,26.4813612
18.00104,-109.9993,211.377,212.761,34.90489418,11.52806748,26.47873369
18.00104,-109.9993,212.57,213.963,34.90480233,11.51333577,26.48139987
18.00104,-109.9993,213.554,214.954,34.90460848,11.50152934,26.48344248
18.00104,-109.9993,214.595,216.002,34.90381214,11.48882954,26.48518543
18.00104,-109.9993,215.614,217.029,34.90351806,11.48041604,26.48651903
18.00104,-109.99929,216.578,217.999,34.9019173,11.45665922,26.48968747
18.00104,-109.99928,217.58,219.008,34.90192454,11.43995422,26.49278444
